Character Sprites
=================
c10e InsectLeft1, Address = 0xc10e, Width = 3, HeightInPixels = 18, SpriteData = 02 10 00 04 60 00 05 80 00 05 3e 00 02 40 00 01 80 00 33 8f 8e da b8 d9 7d e7 b0 7f ff b0 db bf d9 33 8f 8e 01 80 00 02 c0 00 05 3c 00 05 80 00 03 60 00 02 10 00 
c146 InsectLeft2, Address = 0xc146, Width = 3, HeightInPixels = 17, SpriteData = 00 04 00 00 38 00 3c 40 00 02 9f 00 01 e0 00 33 8f 8e 5a b8 d9 7d e7 b0 7f ff b0 5b bf d9 33 8f 8e 01 f0 00 02 8f 00 3c 40 00 00 38 00 00 04 00 00 00 00 
c17b InsectRight1, Address = 0xc17b, Width = 3, HeightInPixels = 18, SpriteData = 00 08 40 00 06 20 00 01 a0 00 7c a0 00 02 40 00 01 80 71 f1 cc 9b 1d 5b 0d e7 be 0d ff fe 9b fb db 71 f1 cc 00 01 80 00 03 40 00 3c a0 00 01 a0 00 06 20 00 08 40 
c1b3 InsectRight2, Address = 0xc1b3, Width = 3, HeightInPixels = 17, SpriteData = 00 20 00 00 1c 00 00 02 3c 00 f9 20 00 07 80 71 f1 cc 9b 1d 5a 0d e7 be 0d ff fe 9b fd da 71 f1 cc 00 0f 80 00 f1 40 00 02 3c 00 1c 00 00 20 00 00 00 00 
c1e8 BugLeft1, Address = 0xc1e8, Width = 2, HeightInPixels = 14, SpriteData = 38 00 4e 00 4f 80 f3 e0 dd e0 be f0 30 78 17 9c 14 ee 0a 1e 0b 3f 06 9f 1d c0 00 00 
c206 BugLeft2, Address = 0xc206, Width = 2, HeightInPixels = 18, SpriteData = 38 00 4e 00 4f 80 ff e0 e3 e0 dc f0 3f 78 31 3c 33 de 16 7e 13 3f 09 9f 04 80 02 40 02 20 00 20 00 00 00 00 
c22c BugRight1, Address = 0xc22c, Width = 2, HeightInPixels = 14, SpriteData = 00 1c 00 72 01 f2 07 cf 07 bb 0f 7d 1e 0c 39 e8 77 28 78 50 fc b0 f9 60 03 b8 00 00 
c24a BugRight2, Address = 0xc24a, Width = 2, HeightInPixels = 18, SpriteData = 00 1c 00 72 01 f2 07 ff 07 c7 0f 3b 1e fc 3c 8c 7b cc 7e 68 fc c8 f9 90 01 20 02 40 04 40 04 00 00 00 00 00 
c270 SquirrelLeft1, Address = 0xc270, Width = 3, HeightInPixels = 21, SpriteData = 00 00 70 00 00 d8 00 01 a4 00 01 40 00 01 20 00 01 a0 00 00 90 00 00 c8 00 00 64 00 00 64 00 f8 32 05 84 32 0f fa 32 37 bd 72 67 7e f2 7f 77 32 03 b9 e4 03 1e 88 01 0e 70 01 7c 00 00 00 00 
c2b1 SquirrelLeft2, Address = 0xc2b1, Width = 3, HeightInPixels = 21, SpriteData = 00 00 70 00 00 d8 00 01 a4 00 01 40 00 01 20 00 01 a0 00 00 90 00 00 c8 00 00 64 00 00 64 00 f8 32 05 84 32 0f fa 32 37 dd 72 67 be f2 7f bb 32 07 bd e4 03 1e 88 06 06 70 03 1e 00 00 00 00 
c2f2 SquirrelRight1, Address = 0xc2f2, Width = 3, HeightInPixels = 21, SpriteData = 0e 00 00 1b 00 00 25 80 00 02 80 00 04 80 00 05 80 00 09 00 00 13 00 00 26 00 00 26 00 00 4c 1f 00 4c 21 a0 4c 5f f0 4e bd ec 4f 7e e6 4c ee fe 27 9d c0 11 78 c0 0e 70 80 00 3e 80 00 00 00 
c333 SquirrelRight2, Address = 0xc333, Width = 3, HeightInPixels = 21, SpriteData = 0e 00 00 1b 00 00 25 80 00 02 80 00 04 80 00 05 80 00 09 00 00 13 00 00 26 00 00 26 00 00 4c 1f 00 4c 21 a0 4c 5f f0 4e bb ec 4f 7d e6 4c dd fe 27 bd e0 11 78 c0 07 60 60 00 78 30 00 00 00 
c38c BatLeft1, Address = 0xc38c, Width = 2, HeightInPixels = 17, SpriteData = 00 1f 00 7e 00 fc 31 c0 1d 3e 77 f0 2f 70 1f 80 37 f0 2d f8 6e fc 68 e6 f0 62 f0 30 c0 10 80 00 00 00 
c3b0 BatLeft2, Address = 0xc3b0, Width = 2, HeightInPixels = 13, SpriteData = 00 70 1d fc 77 fe 2f 9f 1f e0 0f f8 1b fc 1d e6 1e 62 0e 30 0f 10 07 00 01 80 
c3cc BatRight1, Address = 0xc3cc, Width = 2, HeightInPixels = 17, SpriteData = f8 00 7e 00 3f 00 03 8c 7c b8 0f ee 0e f4 01 f8 0f ec 1f b4 3f 76 67 16 46 0f 0c 0f 08 03 00 01 00 00 
c3f0 BatRight2, Address = 0xc3f0, Width = 2, HeightInPixels = 13, SpriteData = 0e 0c 3f b8 7f ee f9 f4 07 f8 1f f0 3f d8 67 b8 46 78 0c 70 08 f0 00 e0 01 80 
c40c SabreManWalkingUp1, Address = 0xc40c, Width = 2, HeightInPixels = 21, SpriteData = 03 c0 06 60 0d b0 1b d8 5b da 67 e6 38 1c 1f f8 07 e0 18 18 3f fc 37 ec 17 dc 0f b8 00 30 0f c0 0f e0 06 18 00 78 07 70 0f 00 
c438 SabreManUp, Address = 0xc438, Width = 2, HeightInPixels = 21, SpriteData = 03 c0 06 60 0d b0 1b d8 5b ba 67 e6 38 1c 1f f8 07 e0 18 18 3f fc 37 ec 37 ec 27 e4 20 04 07 e0 07 e0 0e 70 00 00 06 60 0e 70 
c464 SabreManWalkingUp2, Address = 0xc464, Width = 2, HeightInPixels = 21, SpriteData = 03 c0 06 60 0d b0 1b d8 5b da 67 e6 38 1c 1f f8 07 e0 18 18 3f fc 37 ec 3b e8 1d f0 0c 00 03 f0 07 f0 18 60 1e 00 0e e0 00 f0 
c490 SabreManWalkingDown1, Address = 0xc490, Width = 2, HeightInPixels = 21, SpriteData = 03 c0 0d b0 1b d8 1b d8 3f fc 60 06 16 68 15 a8 0f f0 07 e0 18 18 3b fc 3b f4 1d f4 0e 08 05 f0 0b f0 1e 4e 00 3e 07 38 0f 00 
c4bc SabreManDown, Address = 0xc4bc, Width = 2, HeightInPixels = 21, SpriteData = 03 c0 0d b0 1b d8 1b d8 3f fc 60 06 16 68 15 a8 0f f0 07 e0 18 18 3f fc 3f fc 37 ec 30 0c 27 e4 07 e0 0e 70 00 00 0e 70 1e 78 
c4e8 SabreManWalkingDown2, Address = 0xc4e8, Width = 2, HeightInPixels = 21, SpriteData = 03 c0 0d b0 1b d8 1b d8 3f fc 60 06 16 68 15 a8 0f f0 07 e0 18 18 3f dc 2f dc 2f b8 10 70 0f a0 0f d0 72 78 7c 00 1c e0 00 f0 
c514 SabreManWalkingLeft1, Address = 0xc514, Width = 2, HeightInPixels = 21, SpriteData = 03 e0 07 30 3a e8 0c e8 03 28 04 c8 1b 38 1f cc 07 e0 00 04 02 2e 07 24 06 34 00 74 01 04 07 f4 02 e4 07 70 10 08 1e 38 0e 70 
c540 SabreManLeft, Address = 0xc540, Width = 2, HeightInPixels = 22, SpriteData = 03 e0 07 30 3a e8 0c e8 03 28 04 c8 1b 38 1f cc 07 e0 00 04 02 6e 06 34 07 34 07 34 00 44 06 74 03 e4 03 c0 00 00 01 80 03 80 07 80 
c56e SabreManWalkingLeft2, Address = 0xc56e, Width = 2, HeightInPixels = 21, SpriteData = 03 e0 07 30 3a e8 0c e8 03 28 04 c8 1b 38 1f cc 07 e0 00 04 02 2e 07 14 0f 84 0f 34 00 24 07 f4 03 a4 07 70 10 08 1e 38 0e 70 
c59a SabreManSwordLeft1, Address = 0xc59a, Width = 3, HeightInPixels = 21, SpriteData = 00 07 c0 00 0e 60 00 75 d0 00 19 d0 00 06 50 00 09 90 00 36 70 00 3f 98 00 0f c0 00 00 00 00 7f e0 00 bf d0 01 df b8 03 9f 98 0b 00 08 0c 1f 80 0e 3f c0 10 0d 80 20 30 40 40 18 e0 80 78 78 
c5db SabreManSwordLeft2, Address = 0xc5db, Width = 3, HeightInPixels = 21, SpriteData = 00 00 f8 00 01 cc 00 0e da 00 03 3a 00 00 ca 00 01 32 00 06 ce 00 07 f3 00 01 f8 01 00 00 ff 77 fe 01 3b fd 00 01 fb 00 00 fb 00 00 01 00 03 f0 00 07 f8 00 09 b0 00 06 04 00 03 0e 00 0f 07 
c61c SabreManSwordLeft3, Address = 0xc61c, Width = 3, HeightInPixels = 21, SpriteData = 00 03 e0 00 07 30 00 3a e8 00 0c e8 00 03 28 00 04 c8 00 1b 38 00 1f cc 00 07 e0 00 00 01 00 5f fb 01 ef f6 03 07 ec 00 87 e0 03 00 00 00 87 e0 00 8f f0 00 83 60 00 4c 10 00 46 60 00 5e 78 
c65d SabreManSwordLeft4, Address = 0xc65d, Width = 3, HeightInPixels = 21, SpriteData = 00 03 e0 00 07 30 00 3a e8 00 0c e8 00 03 28 00 04 c8 00 1b 38 00 1f cc 00 07 e0 00 00 00 00 1f fa 00 2f f6 00 37 ec 00 67 e4 01 60 00 01 47 e0 0f 8f f0 f0 83 60 00 0c 30 00 1c 60 00 78 f0 
